店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
Chalk Trip Cafe,050-5494-8383,,神奈川県,厚木市戸室,5-31-1,アツギトレリス3Fフードコート,,False
Caetla（サエラ）,050-5485-6232,,神奈川県,川崎市川崎区駅前本町,14-3,,,False
Peace,050-5486-2080,,神奈川県,横浜市神奈川区西神奈川,1-3-9,2F,,False
YEBISU BAR キュービックプラザ新横浜店,050-5486-6332,,神奈川県,横浜市港北区篠原町,2937,キュービックプラザ新横浜1F,,False
カフェ ココペリ,050-5492-2414,,神奈川県,藤沢市湘南台,2-1-3,サン80湘南台1F,,False
Bistro 湘南,050-5484-4853,,神奈川県,鎌倉市大船,1-20-14,三友ビル2F,,False
espace,050-5492-7678,,神奈川県,中郡大磯町大磯,1098,,,False
千成屋珈琲 ラゾーナ川崎プラザ,050-5492-1492,,神奈川県,川崎市幸区堀川町,72-1,ラゾーナ川崎プラザ2F,,False
焼肉×ワイン 清水橋バル,050-5487-5291,,神奈川県,逗子市逗子,5-14-1,,,False
YEBISUBAR 川崎アゼリア店,050-5488-7307,,神奈川県,川崎市川崎区駅前本町,26-2-2016,,,False
